1,It's not who I am underneath. But what I do that defines me.,Batman
2,"Courage, dear heart.",C.S Lewis
3,Look at the stars and not at your feet. Be curious.,Stephen Hawking
4,"May my heart be kind, my mind fierce, and my spirit brave.",Kate Forsyth
5,"No matter what anybody tells you, words and ideas can change the world.",Dead Poets Society
6,Peace cannot be kept by force; It can only be achieved by understanding.,Albert Einstein
7,In three words I can sum up everything I have learned about life: 'It Goes On',Robert Frost
8,You are not entitled to your opinion. You are entitled to your informed opinion. No one is entitled to be ignorant.,Harlan Ellison
9,"The secret of genius is to carry the spirit of the child into old age, which means never losing your enthusiasm.",Aldous Huxley
10,"Many people will walk in and out of your life, but only true friends will leave footprints in your heart.",Eleanor Roosevelt
11,"When you see a person without a smile, give them one of yours.",Zig Ziglar
12,In order to move forward we have to leave behind our old way of thinking.,Anonymous
13,Be yourself. Everyone else is already taken.,Oscar Wilde
14,Change is the essence of life; be willing to surrender what you are for what you could become.,Reinhold Niebuhr
15,You can feel sore tomorrow or you can feel sorry tomorrow. You choose.,Anonymous
16,"When I was able to get down the road a ways and look back, I realized success is 90% perseverance. The key is to stay in the game.",Trevor Rees-Jones
17,"Whatever you are, be a good one.",Abraham Lincoln
18,"If you dream it, you can do it.",Walt Disney
19,"Never, never, never give up.",Winston Churchill
20,Don’t wait. The time will never be just right.,Napoleon Hill
21,"If not us, who? If not now, when?",John F. Kennedy
22,Everything you can imagine is real.,Pablo Picasso
23,"I can, therefore I am.",Simone Weil
24,Remember no one can make you feel inferior without your consent.,Eleanor Roosevelt
25,Turn your wounds into wisdom.,Oprah Winfrey
26,"Wherever you go, go with all your heart.",Confucius
27,"Do what you can, with what you have, where you are.",Theodore Roosevelt
28,Hope is a waking dream.,Aristotle
29,Action is the foundational key to all success.,Pablo Picasso
30,Do one thing every day that scares you.,Eleanor Roosevelt
31,You must do the thing you think you cannot do.,Eleanor Roosevelt
32,"Don’t regret the past, just learn from it.",Ben Ipock
33,Believe you can and you’re halfway there.,Theodore Roosevelt
34,Live what you love.,Jo Deurbrouck
35,The power of imagination makes us infinite.,John Muir
36,Eighty percent of success is showing up.,Woody Allen
37,"To be the best, you must be able to handle the worst.",Wilson Kanadi
38,A jug fills drop by drop.,Buddha
39,The best way out is always through.,Robert Frost
40,If you have never failed you have never lived.,Anonymous
41,Hope is the heartbeat of the soul.,Michelle Horst
42,Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better.,Samuel Beckett
43,All you need is love.,John Lennon
44,It does not matter how slowly you go as long as you do not stop.,Confucius
45,It is never too late to be what you might have been.,Reinhold Niebuhr
46,We become what we think about.,Earl Nightingale
47,An obstacle is often a stepping stone.,Prescott Bush
48,Dream big and dare to fail.,Norman Vaughan
49,"Men are born to succeed, not fail.",Henry David Thoreau
50,May you live every day of your life.,Jonathan Swift